Entity,Year1,moday,Total economic damage from natural disasters (US$),Number of reported natural disasters (reported disasters),Year
All natural disasters,12/31/1900,-43,30000000,5,1900-12-31
All natural disasters,12/31/1901,-43,0,2,1901-12-31
All natural disasters,12/31/1902,-43,0,9,1902-12-31
All natural disasters,12/31/1903,-43,480000000,8,1903-12-31
All natural disasters,12/31/1904,-43,0,2,1904-12-31
All natural disasters,12/31/1905,-43,0,4,1905-12-31
All natural disasters,12/31/1906,-43,650750000,17,1906-12-31
All natural disasters,12/31/1907,-43,30000000,5,1907-12-31
All natural disasters,12/31/1908,-43,116000000,4,1908-12-31
All natural disasters,12/31/1909,-43,0,11,1909-12-31
All natural disasters,12/31/1910,-43,0,15,1910-12-31
All natural disasters,12/31/1911,-43,20000000,5,1911-12-31
All natural disasters,12/31/1912,-43,35000000,7,1912-12-31
All natural disasters,12/31/1913,-43,200000000,5,1913-12-31
All natural disasters,12/31/1914,-43,20000000,6,1914-12-31
All natural disasters,12/31/1915,-43,121000000,7,1915-12-31
All natural disasters,12/31/1916,-43,0,2,1916-12-31
All natural disasters,12/31/1917,-43,50000000,6,1917-12-31
All natural disasters,12/31/1918,-43,129000000,7,1918-12-31
All natural disasters,12/31/1919,-43,25000000,4,1919-12-31
All natural disasters,12/31/1920,-43,20000000,7,1920-12-31
All natural disasters,12/31/1921,-43,0,2,1921-12-31
All natural disasters,12/31/1922,-43,8000000,6,1922-12-31
All natural disasters,12/31/1923,-43,610000000,12,1923-12-31
All natural disasters,12/31/1924,-43,0,4,1924-12-31
All natural disasters,12/31/1925,-43,45000000,6,1925-12-31
All natural disasters,12/31/1926,-43,104000000,15,1926-12-31
All natural disasters,12/31/1927,-43,102230000,12,1927-12-31
All natural disasters,12/31/1928,-43,75000000,17,1928-12-31
All natural disasters,12/31/1928,-43,55000000,6,1929-12-31
All natural disasters,1930,-43,40000000,14,1930-12-31
All natural disasters,1931,-43,1447500000,12,1931-12-31
All natural disasters,1932,-43,30000000,8,1932-12-31
All natural disasters,1933,-43,66500000,10,1933-12-31
All natural disasters,1934,-43,50000000,9,1934-12-31
All natural disasters,1935,-43,8000000,11,1935-12-31
All natural disasters,1936,-43,21000000,11,1936-12-31
All natural disasters,1937,-43,438000000,7,1937-12-31
All natural disasters,1938,-43,306000000,7,1938-12-31
All natural disasters,1939,-43,940000000,11,1939-12-31
All natural disasters,1940,-43,43000000,17,1940-12-31
All natural disasters,1941,-43,0,5,1941-12-31
All natural disasters,1942,-43,28000000,9,1942-12-31
All natural disasters,1943,-43,1000000000,12,1943-12-31
All natural disasters,1944,-43,100000000,12,1944-12-31
All natural disasters,1945,-43,480000000,12,1945-12-31
All natural disasters,1946,-43,25500000,15,1946-12-31
All natural disasters,1947,-43,130000000,12,1947-12-31
All natural disasters,1948,-43,1043000000,23,1948-12-31
All natural disasters,1949,-43,159200000,20,1949-12-31
All natural disasters,1950,-43,201000000,23,1950-12-31
All natural disasters,1951,-43,1528250000,27,1951-12-31
All natural disasters,1952,-43,152900000,24,1952-12-31
All natural disasters,1953,-43,984310000,34,1953-12-31
All natural disasters,1954,-43,887000000,33,1954-12-31
All natural disasters,1955,-43,877000000,30,1955-12-31
All natural disasters,1956,-43,25000000,36,1956-12-31
All natural disasters,1957,-43,175000000,29,1957-12-31
All natural disasters,1958,-43,530100000,23,1958-12-31
All natural disasters,1959,-43,698200000,33,1959-12-31
All natural disasters,1960,-43,1264041000,40,1960-12-31
All natural disasters,1961,-43,480400000,28,1961-12-31
All natural disasters,1962,-43,1529000000,28,1962-12-31
All natural disasters,1963,-43,1719090000,41,1963-12-31
All natural disasters,1964,-43,3120350000,60,1964-12-31
All natural disasters,1965,-43,2527618000,61,1965-12-31
All natural disasters,1966,-43,2868831000,80,1966-12-31
All natural disasters,1967,-43,1523826000,70,1967-12-31
All natural disasters,1968,-43,1022238000,77,1968-12-31
All natural disasters,1969,-43,2390299000,62,1969-12-31
All natural disasters,1970,-43,3076594000,77,1970-12-31
All natural disasters,1971,-43,1688589000,61,1971-12-31
All natural disasters,1972,-43,4090413000,63,1972-12-31
All natural disasters,1973,-43,2407043000,60,1973-12-31
All natural disasters,1974,-43,4064944000,68,1974-12-31
